,Unnamed: 0.1,Unnamed: 0,name,error,time_taken,rounding_method,rounding_method_final,max_rank,final_round_ranks,run,last_residual,gmres_time,true_error,precond_error,final_round_time
0,0.0,0.0,cookie_2x2,,54.80431071505882,sketch,sketch,10.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,0.0185705026926546,18.110662351362407,"[0.24779057 0.24779057 0.24779057 0.24779057 0.24779057 0.24779057
 0.24779057 0.24779057 0.24779057 0.24779057 0.24779057 0.24779057
 0.24779057 0.24779057 0.24779057 0.24779057 0.24779057 0.24779057
 0.24779057]","[0.00320365 0.00320365 0.00320365 0.00320365 0.00320365 0.00320365
 0.00320365 0.00320365 0.00320365 0.00320365 0.00320365 0.00320365
 0.00320365 0.00320365 0.00320365 0.00320365 0.00320365 0.00320365
 0.00320365]","[0.08283709 0.14306746 0.15639943 0.20373482 0.21046273 0.2494885
 0.35844491 0.22349958 0.25454739 0.25848203 0.23524265 0.32633569
 0.37225481 0.39558384 0.41073575 0.50644314 0.54237512 0.58251778
 0.64683213]"
1,1.0,1.0,cookie_2x2,,59.66552906297147,sketch,sketch,15.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,0.004660365977084,28.177097073290497,"[0.16060515 0.10379497 0.10379497 0.10379497 0.10379497 0.10379497
 0.10379497 0.10379497 0.10379497 0.10379497 0.10379497 0.10379497
 0.10379497 0.10379497 0.10379497 0.10379497 0.10379497 0.10379497
 0.10379497]","[0.00199455 0.00127739 0.00127739 0.00127739 0.00127739 0.00127739
 0.00127739 0.00127739 0.00127739 0.00127739 0.00127739 0.00127739
 0.00127739 0.00127739 0.00127739 0.00127739 0.00127739 0.00127739
 0.00127739]","[0.03364838 0.05634958 0.09690971 0.13423159 0.21769574 0.16774409
 0.20907593 0.2146155  0.2563882  0.29511536 0.27102984 0.32668935
 0.36940189 0.37604137 0.45067122 0.50220676 0.54125721 0.60657905
 0.6601873 ]"
2,2.0,2.0,cookie_2x2,,68.37188637489453,sketch,sketch,20.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,0.0013666397358511,34.155128251062706,"[0.13752316 0.08812012 0.06729034 0.06729019 0.06729019 0.06729019
 0.06729019 0.06729019 0.06729019 0.06729019 0.06729019 0.06729019
 0.06729019 0.06729019 0.06729019 0.06729019 0.06729019 0.06729019
 0.06729019]","[0.00127836 0.00083623 0.00060511 0.00060511 0.00060511 0.00060511
 0.00060511 0.00060511 0.00060511 0.00060511 0.00060511 0.00060511
 0.00060511 0.00060511 0.00060511 0.00060511 0.00060511 0.00060511
 0.00060511]","[0.05111249 0.06563967 0.12526217 0.13129021 0.24766979 0.21278238
 0.2051362  0.25069387 0.35151708 0.28748917 0.32913456 0.33180132
 0.39163712 0.41530439 0.49372053 0.47666864 0.54568355 0.60851152
 0.66468732]"
3,3.0,3.0,cookie_2x2,,69.45951806590892,sketch,sketch,25.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,0.0004784327835452,37.3173855044879,"[0.24393873 0.0348881  0.02409789 0.0197409  0.0197407  0.0197407
 0.0197407  0.0197407  0.0197407  0.0197407  0.0197407  0.0197407
 0.0197407  0.0197407  0.0197407  0.0197407  0.0197407  0.0197407
 0.0197407 ]","[0.00253198 0.00032819 0.00025457 0.00019759 0.00019759 0.00019759
 0.00019759 0.00019759 0.00019759 0.00019759 0.00019759 0.00019759
 0.00019759 0.00019759 0.00019759 0.00019759 0.00019759 0.00019759
 0.00019759]","[0.06736022 0.06002784 0.12652638 0.14708079 0.15680566 0.1366792
 0.2076273  0.20849593 0.2033207  0.28655649 0.25526812 0.30260917
 0.37055825 0.42102231 0.46450156 0.4868183  0.53378016 0.61866767
 0.65789833]"
4,4.0,4.0,cookie_2x2,,74.30647121998481,sketch,sketch,30.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,0.000105032624788,40.56694877380505,"[0.06984024 0.01544241 0.0071029  0.0058502  0.00490581 0.00490587
 0.00490586 0.00490586 0.00490586 0.00490586 0.00490586 0.00490586
 0.00490586 0.00490586 0.00490586 0.00490586 0.00490586 0.00490586
 0.00490586]","[8.76358152e-04 1.55686240e-04 7.44254483e-05 6.03832388e-05
 5.28785828e-05 5.28783345e-05 5.28783081e-05 5.28783267e-05
 5.28783516e-05 5.28783578e-05 5.28783454e-05 5.28783531e-05
 5.28783485e-05 5.28783454e-05 5.28783485e-05 5.28783345e-05
 5.28783485e-05 5.28783593e-05 5.28783531e-05]","[0.0653272  0.09188213 0.12196268 0.15136262 0.17337079 0.1743161
 0.22245745 0.23764949 0.27043586 0.30314647 0.33847934 0.33932596
 0.39758871 0.42752683 0.47554302 0.52785434 0.53692888 0.64088557
 0.65252183]"
5,5.0,5.0,cookie_2x2,,83.08628892316483,sketch,sketch,35.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,4.553704192208558e-05,49.86871378822252,"[0.14486279 0.0118429  0.00456626 0.00325427 0.00302082 0.0027028
 0.00269227 0.00269228 0.00269228 0.00269229 0.00269228 0.00269229
 0.00269229 0.00269229 0.00269228 0.00269229 0.00269229 0.00269229
 0.00269229]","[1.42161975e-03 1.18027739e-04 4.84620472e-05 3.35610635e-05
 3.11720335e-05 2.82357141e-05 2.80285348e-05 2.80285465e-05
 2.80284938e-05 2.80285026e-05 2.80285904e-05 2.80285436e-05
 2.80285202e-05 2.80285582e-05 2.80285407e-05 2.80285260e-05
 2.80286197e-05 2.80285055e-05 2.80285319e-05]","[0.05039044 0.07000475 0.13582429 0.12946078 0.13349356 0.19247055
 0.20450503 0.23163736 0.26595024 0.29447973 0.33513552 0.3178659
 0.39945629 0.43086048 0.49419068 0.55042739 0.57150073 0.63552946
 0.83933673]"
6,6.0,6.0,cookie_2x2,,88.58600589004345,sketch,sketch,40.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,1.8147169183573585e-05,54.67807118152268,"[0.1312225  0.00748993 0.00336096 0.00193772 0.00138665 0.00117696
 0.0011067  0.00110592 0.00110586 0.00110588 0.00110585 0.00110587
 0.00110587 0.00110587 0.00110587 0.00110586 0.00110587 0.00110586
 0.00110587]","[1.26830327e-03 8.54576130e-05 3.22264688e-05 2.01753606e-05
 1.43676326e-05 1.25401708e-05 1.17973146e-05 1.17938081e-05
 1.17941491e-05 1.17938986e-05 1.17939334e-05 1.17939473e-05
 1.17939960e-05 1.17940030e-05 1.17939960e-05 1.17939404e-05
 1.17939682e-05 1.17939821e-05 1.17939543e-05]","[0.08126061 0.07526415 0.12733289 0.13025568 0.13260611 0.2064087
 0.23117097 0.2385185  0.27084366 0.29774482 0.3132981  0.35988613
 0.41161786 0.45378671 0.53778871 0.52441914 0.58535685 0.63927139
 0.70966125]"
7,7.0,7.0,cookie_2x2,,94.39201242593116,sketch,sketch,45.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,8.456412503586133e-06,61.15536275971681,"[0.09929439 0.00712601 0.00265063 0.00132981 0.00095002 0.00081079
 0.00074968 0.00070796 0.00070078 0.00070094 0.00070087 0.00070083
 0.00070088 0.00070087 0.00070088 0.00070089 0.00070088 0.00070091
 0.00070087]","[1.08583323e-03 7.68059167e-05 2.70073754e-05 1.29752299e-05
 9.68211690e-06 8.72128676e-06 7.73681277e-06 7.29089228e-06
 7.24932949e-06 7.24978229e-06 7.24943137e-06 7.25071045e-06
 7.24971437e-06 7.24904647e-06 7.24962381e-06 7.24990681e-06
 7.24961249e-06 7.24957853e-06 7.24971437e-06]","[0.04763603 0.08090347 0.12432967 0.15619945 0.1291201  0.17412111
 0.24464208 0.24869668 0.28160134 0.29739464 0.33235264 0.37770002
 0.43691635 0.46696914 0.51608674 0.53361525 0.57837684 0.63303581
 0.68107712]"
8,8.0,8.0,cookie_2x2,,100.7757622099016,sketch,sketch,50.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,3.415321541978469e-06,67.08287322195247,"[0.08237538 0.03245629 0.00304387 0.00068912 0.00051648 0.00045338
 0.0004372  0.00036433 0.00035265 0.00035406 0.00035301 0.000353
 0.00035301 0.00035313 0.00035307 0.00035311 0.00035306 0.000353
 0.00035307]","[9.10296426e-04 2.46152066e-04 2.76986323e-05 7.39719497e-06
 5.33159802e-06 4.79443625e-06 4.37010880e-06 3.93307351e-06
 3.78922487e-06 3.78358968e-06 3.78161539e-06 3.78235316e-06
 3.78204939e-06 3.78243994e-06 3.78189749e-06 3.78230976e-06
 3.78224467e-06 3.78237485e-06 3.78226637e-06]","[0.07574771 0.09653835 0.11376279 0.14935698 0.11246805 0.18103697
 0.2183655  0.25892065 0.27874794 0.30291374 0.3349502  0.36026102
 0.41697129 0.45625634 0.51885987 0.57152353 0.60240281 0.6743082
 0.71253421]"
9,9.0,,cookie_2x2,,118.01997763197868,sketch,sketch,55.0,"(10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100)",0.0,2.480948581620343e-06,82.07493792660534,"[0.13889764 0.01050249 0.00262862 0.00043376 0.00037458 0.00026553
 0.00022958 0.00021672 0.00020263 0.00019121 0.0001901  0.00018946
 0.00018912 0.00019005 0.00019005 0.00018993 0.00018972 0.00018976
 0.00018983]","[1.23468502e-03 1.46084969e-04 2.97929873e-05 4.35845034e-06
 3.63617635e-06 2.74382006e-06 2.38288267e-06 2.20176940e-06
 2.06863165e-06 1.88614703e-06 1.96440731e-06 1.95825656e-06
 1.95200235e-06 1.96235920e-06 1.95976465e-06 1.96156446e-06
 1.96168997e-06 1.96152263e-06 1.96156446e-06]","[0.05060871 0.12502516 0.09513208 0.13579563 0.17407639 0.16586069
 0.24583094 0.26575778 0.28253503 0.36698633 0.38500417 0.45137599
 0.50319301 0.50937565 0.61383905 0.61555317 0.65175875 0.75424846
 0.79978717]"
