,name,error,time_taken,rank,n_dims,error_func,drm_type,run,left_rank,right_rank
0,TT-SVD,3.910900060507594e-12,0.000460761999420356,"(5, 8, 5)",4.0,tt_error_func,,,,
1,HMT,1.2615752808133938e-11,0.0016922800004977034,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,0.0,,
2,STTA,2.8857942535698988e-11,0.019592864000514965,,4.0,tt_error_func,DenseGaussianDRM,0.0,"(5, 8, 5)","(10, 16, 10)"
3,HMT,1.4940074333886058e-11,0.001691539999228553,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,1.0,,
4,STTA,1.490862074343319e-11,0.021422273999633035,,4.0,tt_error_func,DenseGaussianDRM,1.0,"(5, 8, 5)","(10, 16, 10)"
5,HMT,2.5601126318211917e-11,0.0018484310003259452,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,2.0,,
6,STTA,5.680322120930116e-10,0.013748049999776413,,4.0,tt_error_func,DenseGaussianDRM,2.0,"(5, 8, 5)","(10, 16, 10)"
7,HMT,9.60953159720941e-12,0.0013071180001134053,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,3.0,,
8,STTA,1.2714145626845765e-11,0.013534588000766234,,4.0,tt_error_func,DenseGaussianDRM,3.0,"(5, 8, 5)","(10, 16, 10)"
9,HMT,7.744903170484052e-12,0.0012629970005946234,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,4.0,,
10,STTA,7.686282607975379e-11,0.013590459000624833,,4.0,tt_error_func,DenseGaussianDRM,4.0,"(5, 8, 5)","(10, 16, 10)"
11,HMT,2.7348023333310412e-11,0.0012475570001697633,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,5.0,,
12,STTA,1.851690377260778e-10,0.01392964000115171,,4.0,tt_error_func,DenseGaussianDRM,5.0,"(5, 8, 5)","(10, 16, 10)"
13,HMT,3.8325438064388014e-10,0.0012672979992203182,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,6.0,,
14,STTA,1.1283335867903424e-10,0.01395259000128135,,4.0,tt_error_func,DenseGaussianDRM,6.0,"(5, 8, 5)","(10, 16, 10)"
15,HMT,2.4292286756657105e-11,0.001243627999429009,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,7.0,,
16,STTA,3.4339146382055376e-11,0.014568155000233673,,4.0,tt_error_func,DenseGaussianDRM,7.0,"(5, 8, 5)","(10, 16, 10)"
17,HMT,3.330070387015067e-11,0.0013214379996497883,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,8.0,,
18,STTA,1.3145984623409263e-11,0.014025710999703733,,4.0,tt_error_func,DenseGaussianDRM,8.0,"(5, 8, 5)","(10, 16, 10)"
19,HMT,2.3851484441770405e-11,0.0013934280013927491,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,9.0,,
20,STTA,8.283861174831657e-12,0.014320902999315877,,4.0,tt_error_func,DenseGaussianDRM,9.0,"(5, 8, 5)","(10, 16, 10)"
21,HMT,1.2563647604758964e-10,0.0013138479989720508,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,10.0,,
22,STTA,9.69127511627068e-12,0.014172761999361683,,4.0,tt_error_func,DenseGaussianDRM,10.0,"(5, 8, 5)","(10, 16, 10)"
23,HMT,1.607216764369352e-11,0.001270177999685984,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,11.0,,
24,STTA,1.4443363644980129e-11,0.01492316599978949,,4.0,tt_error_func,DenseGaussianDRM,11.0,"(5, 8, 5)","(10, 16, 10)"
25,HMT,1.975107592019374e-11,0.0013300880000315374,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,12.0,,
26,STTA,4.184576494812111e-11,0.013502398000127869,,4.0,tt_error_func,DenseGaussianDRM,12.0,"(5, 8, 5)","(10, 16, 10)"
27,HMT,1.5182167353230572e-11,0.001295747000767733,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,13.0,,
28,STTA,2.187492484712588e-11,0.01490326500061201,,4.0,tt_error_func,DenseGaussianDRM,13.0,"(5, 8, 5)","(10, 16, 10)"
29,HMT,1.0925862287892235e-11,0.0014363289992616046,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,14.0,,
30,STTA,1.6424963521204e-11,0.013954009998997208,,4.0,tt_error_func,DenseGaussianDRM,14.0,"(5, 8, 5)","(10, 16, 10)"
31,HMT,6.687707733167082e-11,0.0020211619994370267,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,15.0,,
32,STTA,1.2165075973432982e-11,0.015773510000144597,,4.0,tt_error_func,DenseGaussianDRM,15.0,"(5, 8, 5)","(10, 16, 10)"
33,HMT,1.8841569897041968e-11,0.0013808380008413224,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,16.0,,
34,STTA,1.9596347529742013e-11,0.017880383000374422,,4.0,tt_error_func,DenseGaussianDRM,16.0,"(5, 8, 5)","(10, 16, 10)"
35,HMT,1.3676943443206306e-11,0.0013961479999125004,"(5, 8, 5)",4.0,tt_error_func,DenseGaussianDRM,17.0,,
