,name,error,time_taken,left_rank,right_rank,run,rank
0,STTA,0.008768121428408682,0.08233229799952824,10.0,12.0,0.0,
1,STTA,0.007015113682323194,0.047356353999930434,10.0,12.0,1.0,
2,STTA,0.006937534359288552,0.06681381999806035,10.0,12.0,2.0,
3,STTA,0.0032956196937958208,0.048960759999317816,10.0,12.0,3.0,
4,STTA,0.005757750220861972,0.047635834001994226,10.0,12.0,4.0,
5,STTA,0.003505685639907134,0.046871680999174714,10.0,12.0,5.0,
6,STTA,0.006593826541572087,0.04761751499972888,10.0,12.0,6.0,
7,STTA,0.011637444176928913,0.04704412199862418,10.0,12.0,7.0,
8,STTA,0.011337983507406616,0.04990044400256011,10.0,12.0,8.0,
9,STTA,0.00621851050428763,0.04601906799871358,10.0,12.0,9.0,
10,STTA,0.008576157473990053,0.04527911499826587,10.0,12.0,10.0,
11,STTA,0.022580645410281455,0.043237847999989754,10.0,12.0,11.0,
12,STTA,0.005275720792969151,0.043747251002059784,10.0,12.0,12.0,
13,STTA,0.003131115122914301,0.043861169997398974,10.0,12.0,13.0,
14,STTA,0.0058183831329571495,0.04296901699854061,10.0,12.0,14.0,
15,STTA,0.00472306913645082,0.04273083699808922,10.0,12.0,15.0,
16,STTA,0.009950520991302536,0.04412976199819241,10.0,12.0,16.0,
17,STTA,0.01602821766474467,0.04781040599846165,10.0,12.0,17.0,
18,STTA,0.010439805825527964,0.04370762000326067,10.0,12.0,18.0,
19,STTA,0.007588018316628332,0.05009371499909321,10.0,12.0,19.0,
20,STTA,0.014961284804410356,0.04701573299826123,10.0,12.0,20.0,
21,STTA,0.005721305753512683,0.049322761999064824,10.0,12.0,21.0,
22,STTA,0.005270690168132542,0.043232137999439146,10.0,12.0,22.0,
23,STTA,0.0020496255076880494,0.04752498500238289,10.0,12.0,23.0,
24,STTA,0.005229546422829325,0.047949527001037495,10.0,12.0,24.0,
25,STTA,0.006723756675321896,0.049234450998483226,10.0,12.0,25.0,
26,STTA,0.005791301194670532,0.050524636997579364,10.0,12.0,26.0,
27,STTA,0.003284400885084968,0.04814364799676696,10.0,12.0,27.0,
28,STTA,0.0030960430562907873,0.046745031999307685,10.0,12.0,28.0,
29,STTA,0.009505313763099037,0.047456254997086944,10.0,12.0,29.0,
30,STTA,0.0059918473497046435,0.048667549999663606,10.0,12.0,30.0,
31,STTA,0.008442780030187794,0.04931435300022713,10.0,12.0,31.0,
32,STTA,0.010270467168109722,0.048904531002335716,10.0,12.0,32.0,
33,STTA,0.003946420701387514,0.05069960800028639,10.0,12.0,33.0,
34,STTA,0.005429843362136337,0.04782343700208003,10.0,12.0,34.0,
35,STTA,0.004680906392016149,0.047501516000920674,10.0,12.0,35.0,
36,STTA,0.0030501585895540704,0.04945757300083642,10.0,12.0,36.0,
37,STTA,0.0028953519701374174,0.045195015001809224,10.0,12.0,37.0,
38,STTA,0.009975927615234354,0.04704984400086687,10.0,12.0,38.0,
39,STTA,0.012732287403764303,0.04865278000215767,10.0,12.0,39.0,
40,STTA,0.006969065270329928,0.0477921960009553,10.0,12.0,40.0,
41,STTA,0.006734091678230739,0.047934116002579685,10.0,12.0,41.0,
42,STTA,0.008336634549664946,0.04997467599969241,10.0,12.0,42.0,
43,STTA,0.02101502946832171,0.04749958600223181,10.0,12.0,43.0,
44,STTA,0.009426463682423017,0.0467697819985915,10.0,12.0,44.0,
45,STTA,0.009723280544151808,0.04965795400130446,10.0,12.0,45.0,
46,STTA,0.002626548415036491,0.04811969799993676,10.0,12.0,46.0,
47,STTA,0.005238847450000919,0.04799820800326415,10.0,12.0,47.0,
48,STTA,0.003201190438901113,0.04272390699770767,10.0,12.0,48.0,
49,STTA,0.005381439950733045,0.04558980000001611,10.0,12.0,49.0,
50,STTA,0.006980057844451178,0.0463197509998281,10.0,12.0,50.0,
51,STTA,0.011582847316618619,0.042755736998515204,10.0,12.0,51.0,
52,STTA,0.007966736959198188,0.04544573800012586,10.0,12.0,52.0,
53,STTA,0.008510145225109395,0.04428738299975521,10.0,12.0,53.0,
54,STTA,0.010086580138140242,0.04419080300067435,10.0,12.0,54.0,
55,STTA,0.004431848277452846,0.04373622099956265,10.0,12.0,55.0,
56,STTA,0.002906528399516973,0.04722234599830699,10.0,12.0,56.0,
57,STTA,0.1025095953174686,0.044709134999720845,10.0,12.0,57.0,
58,STTA,0.007183919584221567,0.04683171400029096,10.0,12.0,58.0,
59,STTA,0.006352926765093665,0.04804154800149263,10.0,12.0,59.0,
60,STTA,0.012304784943307886,0.0468519030000607,10.0,12.0,60.0,
61,STTA,0.015796632469244162,0.04604445999939344,10.0,12.0,61.0,
62,STTA,0.014185437996038146,0.04643459100043401,10.0,12.0,62.0,
63,STTA,0.0025993190942904826,0.04370431200004532,10.0,12.0,63.0,
64,STTA,0.05666867289548665,0.047033323000505334,10.0,12.0,64.0,
65,STTA,0.004525990070472445,0.04717854499904206,10.0,12.0,65.0,
66,STTA,0.007174574555936145,0.047626568000850966,10.0,12.0,66.0,
67,STTA,0.026269103998030667,0.04551491899837856,10.0,12.0,67.0,
68,STTA,0.008189346861694235,0.04763410699888482,10.0,12.0,68.0,
69,STTA,0.0032350827723293943,0.04790749799940386,10.0,12.0,69.0,
70,STTA,0.011260928479862055,0.04617396200046642,10.0,12.0,70.0,
71,STTA,0.004852535794351791,0.04697784399832017,10.0,12.0,71.0,
72,STTA,0.008220995643604114,0.045959910999954445,10.0,12.0,72.0,
73,STTA,0.004421383920651944,0.046457002998067765,10.0,12.0,73.0,
74,STTA,0.007199815436653124,0.042104274998564506,10.0,12.0,74.0,
75,STTA,0.004674564895639781,0.04630062200158136,10.0,12.0,75.0,
76,STTA,0.005137397673569604,0.04479311600152869,10.0,12.0,76.0,
77,STTA,0.004668366876706756,0.04541994899773272,10.0,12.0,77.0,
78,STTA,0.00849641976165757,0.04611398199995165,10.0,12.0,78.0,
79,STTA,0.005108978929311401,0.0471442060006666,10.0,12.0,79.0,
80,STTA,0.003911966963927968,0.04758355599915376,10.0,12.0,80.0,
81,STTA,0.004256497225914157,0.0464534230013669,10.0,12.0,81.0,
82,STTA,0.009733985637672509,0.04433897399940179,10.0,12.0,82.0,
83,STTA,0.017584582783762077,0.04926457400142681,10.0,12.0,83.0,
84,STTA,0.009909368717482185,0.04615510200164863,10.0,12.0,84.0,
85,STTA,0.008030600197773357,0.04603536099966732,10.0,12.0,85.0,
86,STTA,0.016393208611384984,0.043950623003183864,10.0,12.0,86.0,
87,STTA,0.01020996915316515,0.046104891000140924,10.0,12.0,87.0,
88,STTA,0.0026775565885061663,0.045791659998940304,10.0,12.0,88.0,
89,STTA,0.0033309465460455733,0.04228600699934759,10.0,12.0,89.0,
90,STTA,0.008632492420177355,0.0455552399980661,10.0,12.0,90.0,
91,STTA,0.003775494052617312,0.04551019000064116,10.0,12.0,91.0,
92,STTA,0.002678093778535067,0.04429190500013647,10.0,12.0,92.0,
93,STTA,0.007663226213648143,0.04384342300181743,10.0,12.0,93.0,
94,STTA,0.008212577985997142,0.04670507499758969,10.0,12.0,94.0,
95,STTA,0.01084684627187379,0.042915189998893766,10.0,12.0,95.0,
96,STTA,0.0032068823086502775,0.043055500002083136,10.0,12.0,96.0,
97,STTA,0.0064144114377588865,0.04678520500237937,10.0,12.0,97.0,
98,STTA,0.007787071156303049,0.04647207300149603,10.0,12.0,98.0,
99,STTA,0.0027023249734859384,0.04414530400026706,10.0,12.0,99.0,
100,STTA,0.004762686489963571,0.04480245800004923,10.0,14.0,0.0,
101,STTA,0.0034212710798224516,0.044323385001916904,10.0,14.0,1.0,
102,STTA,0.0032086361275380096,0.04621321200102102,10.0,14.0,2.0,
103,STTA,0.002948393827187467,0.046970256000349764,10.0,14.0,3.0,
104,STTA,0.008259395640288849,0.045354629000939894,10.0,14.0,4.0,
105,STTA,0.005163063204196618,0.04600667300110217,10.0,14.0,5.0,
106,STTA,0.012395334358257003,0.04680570499840542,10.0,14.0,6.0,
107,STTA,0.0034332480112468835,0.0517523650014482,10.0,14.0,7.0,
108,STTA,0.0036256099141762617,0.04693351600144524,10.0,14.0,8.0,
109,STTA,0.003650217271955392,0.052713780001795385,10.0,14.0,9.0,
110,STTA,0.005226963658683313,0.048312860999430995,10.0,14.0,10.0,
111,STTA,0.004375688394879667,0.04418095499931951,10.0,14.0,11.0,
112,STTA,0.003409800642941299,0.04733325799679733,10.0,14.0,12.0,
113,STTA,0.0044931762567777846,0.05397865399936563,10.0,14.0,13.0,
114,STTA,0.00565599510890788,0.06023669899877859,10.0,14.0,14.0,
115,STTA,0.002491316062746651,0.045420878999721026,10.0,14.0,15.0,
116,STTA,0.010049833783640593,0.04760146799890208,10.0,14.0,16.0,
117,STTA,0.00454904747880149,0.046781765999185154,10.0,14.0,17.0,
118,STTA,0.0053274456270209275,0.04268099900218658,10.0,14.0,18.0,
119,STTA,0.0033627805178275167,0.04410355399886612,10.0,14.0,19.0,
120,STTA,0.0030229331449657853,0.04615236300014658,10.0,14.0,20.0,
121,STTA,0.005920024151692141,0.0448733280027227,10.0,14.0,21.0,
122,STTA,0.004126567122568779,0.045273799001734005,10.0,14.0,22.0,
123,STTA,0.002102763989488035,0.043904595000640256,10.0,14.0,23.0,
124,STTA,0.0087338089287832,0.04295656000249437,10.0,14.0,24.0,
125,STTA,0.0024857978036303277,0.05426927599910414,10.0,14.0,25.0,
