,Unnamed: 0,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
0,0.0,STTAx2,1.010534373346354,0.2705385091248899,1.0,2.0,200.0,1.0,0.0,tt_error_func,
1,1.0,STTAx2,0.612098193326861,0.3181476630270481,11.0,22.0,200.0,11.0,0.0,tt_error_func,
2,2.0,STTAx2,0.0719386667588176,0.3887187959626317,21.0,42.0,200.0,21.0,0.0,tt_error_func,
3,3.0,STTAx2,0.009452739829385,0.3555550309829414,31.0,62.0,200.0,31.0,0.0,tt_error_func,
4,4.0,STTAx2,0.0009403433802981,0.4820331169757992,41.0,82.0,200.0,41.0,0.0,tt_error_func,
5,5.0,STTAx2,8.750638775515729e-05,0.4729165078606456,51.0,102.0,200.0,51.0,0.0,tt_error_func,
6,6.0,STTAx2,1.0506742452805869e-05,0.4890111011918634,61.0,122.0,200.0,61.0,0.0,tt_error_func,
7,7.0,STTAx2,9.229594075411176e-07,0.5840641520917416,71.0,142.0,200.0,71.0,0.0,tt_error_func,
8,8.0,STTAx2,9.26534290878722e-08,0.6445743860676885,81.0,162.0,200.0,81.0,0.0,tt_error_func,
9,9.0,STTAx2,8.224991737376985e-09,0.635542405070737,91.0,182.0,200.0,91.0,0.0,tt_error_func,
10,10.0,STTAx2,8.723897837808812e-10,0.6576826509553939,101.0,202.0,200.0,101.0,0.0,tt_error_func,
11,11.0,STTAx2,9.34216623338687e-11,0.6956818329636008,111.0,222.0,200.0,111.0,0.0,tt_error_func,
12,12.0,STTAx2,8.67872325888145e-12,0.8980899208690971,121.0,242.0,200.0,121.0,0.0,tt_error_func,
13,13.0,STTAx2,1.0966006946265424e-12,0.7855815219227225,131.0,262.0,200.0,131.0,0.0,tt_error_func,
14,14.0,STTAx2,3.484619020946404e-13,0.8623051170725375,141.0,282.0,200.0,141.0,0.0,tt_error_func,
15,15.0,STTAx2,2.026162948400431e-13,0.8944981470704079,151.0,302.0,200.0,151.0,0.0,tt_error_func,
16,16.0,STTAx2,1.7145667336139545e-13,0.9579642231110485,161.0,322.0,200.0,161.0,0.0,tt_error_func,
17,17.0,STTAx2,1.431346236690127e-13,1.0490689799189568,171.0,342.0,200.0,171.0,0.0,tt_error_func,
18,18.0,STTAx2,1.1007245106283475e-13,1.0136886418331414,181.0,362.0,200.0,181.0,0.0,tt_error_func,
19,19.0,STTAx2,8.854472664523017e-14,1.0757026788778603,191.0,382.0,200.0,191.0,0.0,tt_error_func,
20,20.0,STTAx2,1.0196080053345526,0.2340534420218318,1.0,2.0,200.0,1.0,1.0,tt_error_func,
21,21.0,STTAx2,0.5970482895481127,0.3632177640683949,11.0,22.0,200.0,11.0,1.0,tt_error_func,
22,22.0,STTAx2,0.0836501305661474,0.3748380120377987,21.0,42.0,200.0,21.0,1.0,tt_error_func,
23,23.0,STTAx2,0.0086970693892864,0.3739563911221921,31.0,62.0,200.0,31.0,1.0,tt_error_func,
24,24.0,STTAx2,0.0009548878644733,0.4382404258940369,41.0,82.0,200.0,41.0,1.0,tt_error_func,
25,25.0,STTAx2,9.374681663448115e-05,0.4124821568839252,51.0,102.0,200.0,51.0,1.0,tt_error_func,
26,26.0,STTAx2,9.02216090265121e-06,0.4830618849955499,61.0,122.0,200.0,61.0,1.0,tt_error_func,
27,27.0,STTAx2,9.038194205746428e-07,0.5625818299595267,71.0,142.0,200.0,71.0,1.0,tt_error_func,
28,28.0,STTAx2,1.0177439730269485e-07,0.5959045591298491,81.0,162.0,200.0,81.0,1.0,tt_error_func,
29,29.0,STTAx2,7.602333302398832e-09,0.6399219050072134,91.0,182.0,200.0,91.0,1.0,tt_error_func,
30,30.0,STTAx2,8.366065474861926e-10,0.6753715679515153,101.0,202.0,200.0,101.0,1.0,tt_error_func,
31,31.0,STTAx2,6.91795275491289e-11,0.7214137979317456,111.0,222.0,200.0,111.0,1.0,tt_error_func,
32,32.0,STTAx2,7.571777017905579e-12,0.7363581529352814,121.0,242.0,200.0,121.0,1.0,tt_error_func,
33,33.0,STTAx2,1.0900583313804734e-12,0.8108749769162387,131.0,262.0,200.0,131.0,1.0,tt_error_func,
34,34.0,STTAx2,4.155111590607047e-13,0.8878855579532683,141.0,282.0,200.0,141.0,1.0,tt_error_func,
35,35.0,STTAx2,2.468215847854182e-13,0.898045688169077,151.0,302.0,200.0,151.0,1.0,tt_error_func,
36,36.0,STTAx2,1.5201358329204382e-13,0.9664449230767788,161.0,322.0,200.0,161.0,1.0,tt_error_func,
37,37.0,STTAx2,1.5110380831407597e-13,0.9892276979517192,171.0,342.0,200.0,171.0,1.0,tt_error_func,
38,38.0,STTAx2,1.210154869116682e-13,1.0457061699125916,181.0,362.0,200.0,181.0,1.0,tt_error_func,
39,39.0,STTAx2,1.1271124124373233e-13,1.0918994741514323,191.0,382.0,200.0,191.0,1.0,tt_error_func,
40,40.0,STTAx2,1.258900764225283,0.2175339160021394,1.0,2.0,200.0,1.0,2.0,tt_error_func,
41,41.0,STTAx2,0.5500485870726007,0.3436729779932648,11.0,22.0,200.0,11.0,2.0,tt_error_func,
42,42.0,STTAx2,0.0761437960514729,0.3516708000097424,21.0,42.0,200.0,21.0,2.0,tt_error_func,
43,43.0,STTAx2,0.0087798874746716,0.4005192720796913,31.0,62.0,200.0,31.0,2.0,tt_error_func,
44,44.0,STTAx2,0.0011676423012222,0.4491497478447854,41.0,82.0,200.0,41.0,2.0,tt_error_func,
45,45.0,STTAx2,9.659251941519006e-05,0.4542236719280481,51.0,102.0,200.0,51.0,2.0,tt_error_func,
46,46.0,STTAx2,1.015228467141042e-05,0.5104104930069298,61.0,122.0,200.0,61.0,2.0,tt_error_func,
47,47.0,STTAx2,1.0654357667408395e-06,0.551207453943789,71.0,142.0,200.0,71.0,2.0,tt_error_func,
48,48.0,STTAx2,1.069810665957121e-07,0.7016461689490825,81.0,162.0,200.0,81.0,2.0,tt_error_func,
49,49.0,STTAx2,9.776922981933112e-09,0.6534379608929157,91.0,182.0,200.0,91.0,2.0,tt_error_func,
50,50.0,STTAx2,8.604908469195941e-10,0.6581489790696651,101.0,202.0,200.0,101.0,2.0,tt_error_func,
51,51.0,STTAx2,9.14273554520389e-11,0.8406358070205897,111.0,222.0,200.0,111.0,2.0,tt_error_func,
52,52.0,STTAx2,8.294721033026565e-12,0.7534382140729576,121.0,242.0,200.0,121.0,2.0,tt_error_func,
53,53.0,STTAx2,1.1059189565104526e-12,0.8291064619552344,131.0,262.0,200.0,131.0,2.0,tt_error_func,
54,54.0,STTAx2,3.516990850034912e-13,0.919789093080908,141.0,282.0,200.0,141.0,2.0,tt_error_func,
55,55.0,STTAx2,2.034477583973734e-13,0.8887466909363866,151.0,302.0,200.0,151.0,2.0,tt_error_func,
56,56.0,STTAx2,1.7988764504183196e-13,0.9636753359809518,161.0,322.0,200.0,161.0,2.0,tt_error_func,
57,57.0,STTAx2,1.2372611459397758e-13,0.9977652230300008,171.0,342.0,200.0,171.0,2.0,tt_error_func,
58,58.0,STTAx2,1.3628180211805385e-13,1.060410700039938,181.0,362.0,200.0,181.0,2.0,tt_error_func,
59,59.0,STTAx2,9.94161767388542e-14,1.0888286160770804,191.0,382.0,200.0,191.0,2.0,tt_error_func,
60,60.0,STTAx2,4.863795827493476,0.2466307491995394,1.0,2.0,200.0,1.0,3.0,tt_error_func,
61,61.0,STTAx2,0.5531914727657519,0.3207604528870433,11.0,22.0,200.0,11.0,3.0,tt_error_func,
62,62.0,STTAx2,0.0930811218674651,0.361504603177309,21.0,42.0,200.0,21.0,3.0,tt_error_func,
63,63.0,STTAx2,0.0084726410750719,0.4074203220661729,31.0,62.0,200.0,31.0,3.0,tt_error_func,
64,64.0,STTAx2,0.0009743303337648,0.4284341218881309,41.0,82.0,200.0,41.0,3.0,tt_error_func,
65,65.0,STTAx2,9.863276351684698e-05,0.4556638470385223,51.0,102.0,200.0,51.0,3.0,tt_error_func,
66,66.0,STTAx2,1.2005202112630078e-05,0.5097716120071709,61.0,122.0,200.0,61.0,3.0,tt_error_func,
67,67.0,STTAx2,9.273042598161186e-07,0.5644602030515671,71.0,142.0,200.0,71.0,3.0,tt_error_func,
68,68.0,STTAx2,9.775319611910629e-08,0.578197771916166,81.0,162.0,200.0,81.0,3.0,tt_error_func,
69,69.0,STTAx2,8.650884311057238e-09,0.6187267021741718,91.0,182.0,200.0,91.0,3.0,tt_error_func,
70,70.0,STTAx2,9.137501413963968e-10,0.6612044100183994,101.0,202.0,200.0,101.0,3.0,tt_error_func,
71,71.0,STTAx2,7.822280524761066e-11,0.6673101899214089,111.0,222.0,200.0,111.0,3.0,tt_error_func,
72,72.0,STTAx2,6.5356883763355815e-12,0.7583777650725096,121.0,242.0,200.0,121.0,3.0,tt_error_func,
73,73.0,STTAx2,1.0226505971704325e-12,0.8459946550428867,131.0,262.0,200.0,131.0,3.0,tt_error_func,
74,74.0,STTAx2,3.234665733287864e-13,0.8445194279775023,141.0,282.0,200.0,141.0,3.0,tt_error_func,
75,75.0,STTAx2,2.0845572063242693e-13,0.9362465939484536,151.0,302.0,200.0,151.0,3.0,tt_error_func,
76,76.0,STTAx2,1.8518043319943529e-13,0.9770080000162124,161.0,322.0,200.0,161.0,3.0,tt_error_func,
77,77.0,STTAx2,1.325464509730499e-13,1.0934400619007647,171.0,342.0,200.0,171.0,3.0,tt_error_func,
78,78.0,STTAx2,1.2905141535902344e-13,1.0171923891175538,181.0,362.0,200.0,181.0,3.0,tt_error_func,
79,79.0,STTAx2,9.264779044036453e-14,1.0703317099250853,191.0,382.0,200.0,191.0,3.0,tt_error_func,
80,80.0,STTAx2,1.0427833269427271,0.2622623920906335,1.0,2.0,200.0,1.0,4.0,tt_error_func,
81,81.0,STTAx2,0.6043832237980111,0.3179055289365351,11.0,22.0,200.0,11.0,4.0,tt_error_func,
82,82.0,STTAx2,0.0679671582063622,0.3639132771641016,21.0,42.0,200.0,21.0,4.0,tt_error_func,
83,83.0,STTAx2,0.0083071025029906,0.4121774008963257,31.0,62.0,200.0,31.0,4.0,tt_error_func,
84,84.0,STTAx2,0.0008476156318583,0.4117935250978917,41.0,82.0,200.0,41.0,4.0,tt_error_func,
85,85.0,STTAx2,9.492079497749194e-05,0.4548292390536517,51.0,102.0,200.0,51.0,4.0,tt_error_func,
86,86.0,STTAx2,8.54046954789819e-06,0.4962413380853832,61.0,122.0,200.0,61.0,4.0,tt_error_func,
87,87.0,STTAx2,7.198244429132256e-07,0.581043406855315,71.0,142.0,200.0,71.0,4.0,tt_error_func,
88,88.0,STTAx2,9.46352336091572e-08,0.5911943919491023,81.0,162.0,200.0,81.0,4.0,tt_error_func,
89,89.0,STTAx2,8.396188172521722e-09,0.6343153540510684,91.0,182.0,200.0,91.0,4.0,tt_error_func,
90,90.0,STTAx2,7.692980748028138e-10,0.6900510399136692,101.0,202.0,200.0,101.0,4.0,tt_error_func,
91,91.0,STTAx2,7.958486828055524e-11,0.6971035071182996,111.0,222.0,200.0,111.0,4.0,tt_error_func,
92,92.0,STTAx2,7.6447925839441e-12,0.739271696889773,121.0,242.0,200.0,121.0,4.0,tt_error_func,
93,93.0,STTAx2,1.2577157535683162e-12,0.8389541751239449,131.0,262.0,200.0,131.0,4.0,tt_error_func,
94,94.0,STTAx2,3.4338283388030734e-13,0.8428868581540883,141.0,282.0,200.0,141.0,4.0,tt_error_func,
95,95.0,STTAx2,2.2402739835468386e-13,0.9431305099278688,151.0,302.0,200.0,151.0,4.0,tt_error_func,
96,96.0,STTAx2,1.5208108116811418e-13,0.9489454149734228,161.0,322.0,200.0,161.0,4.0,tt_error_func,
97,97.0,STTAx2,1.289151272634834e-13,1.0092774308286607,171.0,342.0,200.0,171.0,4.0,tt_error_func,
98,98.0,STTAx2,1.1256994390378711e-13,1.0340221850201488,181.0,362.0,200.0,181.0,4.0,tt_error_func,
99,99.0,STTAx2,9.788751071071361e-14,1.1676838509738443,191.0,382.0,200.0,191.0,4.0,tt_error_func,
100,100.0,STTAx2,1.0079493079113633,0.2516728581395,1.0,2.0,200.0,1.0,5.0,tt_error_func,
101,101.0,STTAx2,0.6316493315348903,0.3126509899739176,11.0,22.0,200.0,11.0,5.0,tt_error_func,
102,102.0,STTAx2,0.088136477258007,0.3507715598680079,21.0,42.0,200.0,21.0,5.0,tt_error_func,
