,name,error,time_taken,left_rank,right_rank,tensor_rank,sketch_rank,run,error_func,rank
0,STTAx2,1.4790898298925261,0.37279851105995476,5.0,10.0,100.0,5.0,0.0,tt_error_func,
1,STTAx2,0.8058893286371533,0.36645323713310063,10.0,20.0,100.0,10.0,0.0,tt_error_func,
2,STTAx2,0.30051972059123117,0.46471625100821257,15.0,30.0,100.0,15.0,0.0,tt_error_func,
3,STTAx2,0.12270771658812875,0.4688372379168868,20.0,40.0,100.0,20.0,0.0,tt_error_func,
4,STTAx2,0.04475289348585644,0.4753272500820458,25.0,50.0,100.0,25.0,0.0,tt_error_func,
5,STTAx2,0.013429418025385043,0.5000581000931561,30.0,60.0,100.0,30.0,0.0,tt_error_func,
6,STTAx2,0.0047401065234652815,0.7024746551178396,35.0,70.0,100.0,35.0,0.0,tt_error_func,
7,STTAx2,0.0015076353186748753,0.5818963060155511,40.0,80.0,100.0,40.0,0.0,tt_error_func,
8,STTAx2,0.00039627721527093595,0.6234183991327882,45.0,90.0,100.0,45.0,0.0,tt_error_func,
9,STTAx2,0.00016385139222900499,0.7584415960591286,50.0,100.0,100.0,50.0,0.0,tt_error_func,
10,STTAx2,4.914242159187833e-05,0.7516415370628238,55.0,110.0,100.0,55.0,0.0,tt_error_func,
11,STTAx2,1.4696604514618576e-05,0.826641715830192,60.0,120.0,100.0,60.0,0.0,tt_error_func,
12,STTAx2,4.737678576210748e-06,0.8308740919455886,65.0,130.0,100.0,65.0,0.0,tt_error_func,
13,STTAx2,1.525615568424668e-06,0.8224626509472728,70.0,140.0,100.0,70.0,0.0,tt_error_func,
14,STTAx2,4.540415896541583e-07,1.3101769988425076,75.0,150.0,100.0,75.0,0.0,tt_error_func,
15,STTAx2,1.4510032040100363e-07,1.1361864139325917,80.0,160.0,100.0,80.0,0.0,tt_error_func,
16,STTAx2,5.8055370777726175e-08,0.9947024451103061,85.0,170.0,100.0,85.0,0.0,tt_error_func,
17,STTAx2,1.356227439301956e-08,0.9997040550224483,90.0,180.0,100.0,90.0,0.0,tt_error_func,
18,STTAx2,3.6431151207415495e-09,1.1694554700516164,95.0,190.0,100.0,95.0,0.0,tt_error_func,
19,STTAx2,5.227936457355455e-13,1.09885239508003,100.0,200.0,100.0,100.0,0.0,tt_error_func,
20,STTAx2,1.5072465732479203,0.3179940900299698,5.0,10.0,100.0,5.0,1.0,tt_error_func,
21,STTAx2,0.7626382791772595,0.4132979051209986,10.0,20.0,100.0,10.0,1.0,tt_error_func,
22,STTAx2,0.2921588394277713,0.4608470741659403,15.0,30.0,100.0,15.0,1.0,tt_error_func,
23,STTAx2,0.11829240508214425,0.49958183499984443,20.0,40.0,100.0,20.0,1.0,tt_error_func,
24,STTAx2,0.044250861048858454,0.48016983503475785,25.0,50.0,100.0,25.0,1.0,tt_error_func,
25,STTAx2,0.013644233331223039,0.6623534439131618,30.0,60.0,100.0,30.0,1.0,tt_error_func,
26,STTAx2,0.004528726042938548,0.7426085800398141,35.0,70.0,100.0,35.0,1.0,tt_error_func,
27,STTAx2,0.0013048193833265058,0.5647032011765987,40.0,80.0,100.0,40.0,1.0,tt_error_func,
28,STTAx2,0.00043567539855225896,0.7064159358851612,45.0,90.0,100.0,45.0,1.0,tt_error_func,
29,STTAx2,0.00013915358877261556,0.6427464168518782,50.0,100.0,100.0,50.0,1.0,tt_error_func,
30,STTAx2,4.775708515165358e-05,0.8170780488289893,55.0,110.0,100.0,55.0,1.0,tt_error_func,
31,STTAx2,1.311490420885409e-05,0.9868749440647662,60.0,120.0,100.0,60.0,1.0,tt_error_func,
32,STTAx2,4.901651414650774e-06,0.825346163008362,65.0,130.0,100.0,65.0,1.0,tt_error_func,
33,STTAx2,1.4798423932177249e-06,0.8079718749504536,70.0,140.0,100.0,70.0,1.0,tt_error_func,
34,STTAx2,4.74335893342711e-07,0.9158399309962988,75.0,150.0,100.0,75.0,1.0,tt_error_func,
35,STTAx2,1.503143952914857e-07,0.9185242138337344,80.0,160.0,100.0,80.0,1.0,tt_error_func,
36,STTAx2,5.454137630132666e-08,1.1851588708814234,85.0,170.0,100.0,85.0,1.0,tt_error_func,
37,STTAx2,1.6219381759150927e-08,1.0241583900060505,90.0,180.0,100.0,90.0,1.0,tt_error_func,
38,STTAx2,4.360382652349499e-09,1.3328166180290282,95.0,190.0,100.0,95.0,1.0,tt_error_func,
39,STTAx2,2.971597293548602e-13,1.140509330201894,100.0,200.0,100.0,100.0,1.0,tt_error_func,
40,STTAx2,1.4199224164935993,0.34802772803232074,5.0,10.0,100.0,5.0,2.0,tt_error_func,
41,STTAx2,0.8764204454037103,0.3913693940266967,10.0,20.0,100.0,10.0,2.0,tt_error_func,
